Temperature,Humidity,Weather,Wind Speed,Time of Day,Action
34,47,clear,4.5,evening,0
30,78,clear,3.4,afternoon,1
36,54,fog,3.4,night,0
23,50,clouds,0.4,afternoon,0
31,63,fog,1.1,afternoon,1
22,78,rain,0.7,night,0
31,79,clear,4.3,evening,1
26,44,fog,2.2,night,0
25,52,rain,1.1,night,0
26,81,fog,1.1,morning,0
21,40,fog,1.9,night,0
23,47,clouds,0.0,night,0
30,78,clouds,3.7,morning,0
34,86,fog,4.2,afternoon,1
23,54,fog,2.2,morning,0
38,58,fog,0.1,night,0
34,54,clear,4.8,afternoon,0
28,69,clear,4.2,morning,0
36,65,clouds,1.8,night,1
38,47,fog,3.5,afternoon,0
20,50,rain,1.5,night,0
39,59,fog,4.1,evening,0
25,52,clouds,4.7,morning,0
34,80,clouds,2.5,evening,1
29,90,rain,4.8,night,0
39,53,fog,2.9,afternoon,0
25,70,fog,0.2,night,0
28,79,rain,0.3,night,0
28,87,clear,3.3,morning,0
26,68,fog,1.0,morning,0
35,69,rain,2.1,evening,1
24,48,rain,3.3,morning,0
24,84,rain,1.8,evening,0
38,64,clear,3.6,morning,1
35,81,clouds,2.1,night,1
39,76,clear,2.0,afternoon,1
38,67,rain,1.3,evening,1
27,64,clouds,3.6,morning,0
37,62,fog,2.1,night,1
35,73,clouds,0.3,night,1
38,42,fog,2.0,evening,0
23,63,rain,1.4,evening,0
22,76,fog,3.9,afternoon,0
30,59,fog,2.9,evening,0
34,49,clouds,4.5,afternoon,0
35,69,clouds,2.8,evening,1
40,69,fog,4.0,evening,1
33,45,rain,0.8,night,0
22,48,fog,0.0,morning,0
26,69,fog,2.2,night,0
39,58,rain,4.4,morning,0
34,62,fog,0.6,night,1
29,81,clouds,0.6,night,0
22,44,clouds,4.9,night,0
24,88,clear,2.3,afternoon,0
24,41,rain,1.9,evening,0
38,89,rain,4.9,afternoon,1
22,67,clear,4.8,night,0
20,78,rain,1.3,evening,0
32,79,rain,2.5,morning,1
25,89,rain,0.2,morning,0
23,65,clouds,0.3,afternoon,0
28,90,clouds,4.8,evening,0
24,68,rain,1.8,morning,0
21,81,clouds,0.9,evening,0
38,41,rain,1.8,evening,0
25,82,clear,3.6,evening,0
33,90,clouds,2.8,night,1
31,58,rain,1.5,morning,0
34,45,fog,2.1,evening,0
31,75,fog,0.5,evening,1
27,83,clear,4.7,evening,0
24,64,rain,3.1,afternoon,0
23,76,clouds,4.9,night,0
36,40,fog,1.0,evening,0
21,74,clouds,2.7,night,0
33,61,clouds,2.1,night,1
35,76,clear,4.0,afternoon,1
26,72,fog,1.2,night,0
26,45,rain,0.8,night,0
24,67,fog,0.3,evening,0
24,60,clear,1.8,night,0
34,49,rain,0.9,evening,0
36,44,rain,4.5,morning,0
36,78,clear,3.8,night,1
35,85,fog,2.3,afternoon,1
26,81,fog,3.0,night,0
24,73,clouds,3.4,morning,0
28,76,fog,1.9,morning,0
37,67,clear,1.0,evening,1
31,76,fog,2.2,morning,1
23,80,clouds,2.9,morning,0
21,89,fog,0.4,evening,0
25,73,fog,4.9,morning,0
31,66,rain,4.4,morning,1
35,44,fog,3.4,afternoon,0
20,40,fog,3.5,evening,0
27,62,clear,4.4,evening,0
37,71,rain,1.2,morning,1
32,79,clear,1.7,night,1
32,79,clouds,1.0,night,1
28,63,rain,0.7,afternoon,0
21,59,rain,2.3,afternoon,0
26,56,rain,2.8,afternoon,0
28,74,rain,3.2,morning,0
25,80,clouds,1.9,morning,0
38,69,fog,4.1,afternoon,1
26,62,rain,4.5,night,0
34,74,fog,4.3,evening,1
21,56,clouds,1.0,afternoon,0
22,41,clouds,3.7,night,0
35,86,clouds,1.2,morning,1
34,89,clouds,2.0,evening,1
30,61,clear,0.3,evening,0
20,73,rain,0.4,night,0
38,42,rain,2.6,evening,0
30,63,clouds,0.2,evening,0
24,61,fog,3.6,morning,0
29,51,clear,2.4,afternoon,0
38,80,clouds,4.0,evening,1
40,61,clouds,1.6,morning,1
37,77,clouds,3.1,night,1
36,76,rain,3.8,night,1
23,59,fog,2.8,afternoon,0
33,85,clouds,0.7,morning,1
25,51,clouds,3.8,morning,0
33,51,clouds,3.0,afternoon,0
39,56,rain,0.0,afternoon,0
38,66,clouds,1.9,afternoon,1
27,78,clear,4.0,afternoon,0
33,58,rain,3.3,night,0
22,65,rain,3.5,night,0
33,47,clear,4.2,morning,0
29,48,clear,4.3,night,0
28,70,clouds,5.0,afternoon,0
20,70,clear,3.9,evening,0
39,62,fog,0.8,night,1
24,54,clear,2.2,morning,0
35,79,clouds,4.1,morning,1
38,49,clear,0.5,afternoon,0
37,65,clear,3.0,afternoon,1
25,49,fog,3.2,morning,0
39,63,rain,1.8,night,1
22,55,clouds,4.8,afternoon,0
40,46,clouds,0.7,morning,0
22,83,rain,2.5,evening,0
28,56,clear,3.6,night,0
34,69,clouds,3.3,morning,1
35,78,clouds,4.9,afternoon,1
32,44,clear,1.4,night,0
33,47,fog,2.0,afternoon,0
39,84,rain,2.5,night,1
27,90,clear,1.3,night,0
23,84,rain,2.3,morning,0
33,46,fog,2.7,night,0
34,57,fog,0.6,morning,0
